Thermal comfort,Age,Sex,Thermal preference,Thermal sensation,Air temperature (C)
5.0,15.0,0.0,2.0,-0.5,24.2
5.0,15.0,0.0,1.0,-2.1,24.2
6.0,15.0,1.0,1.0,0.5,24.2
4.0,14.0,0.0,1.0,-2.5,24.2
6.0,15.0,1.0,1.0,-0.5,24.2
1.0,14.0,0.0,1.0,1.0,24.2
5.0,15.0,1.0,1.0,-1.0,24.2
4.0,15.0,0.0,1.0,-1.5,24.2
3.0,14.0,0.0,0.0,-3.0,24.2
5.0,13.0,1.0,1.0,0.0,24.2
5.0,14.0,0.0,1.0,-0.5,24.2
5.0,15.0,0.0,1.0,1.0,24.2
4.0,15.0,0.0,1.0,0.5,24.2
5.0,15.0,0.0,1.0,0.0,24.2
4.0,15.0,0.0,0.0,-2.5,24.2
5.0,15.0,0.0,1.0,-2.0,24.2
4.0,15.0,1.0,1.0,-2.0,24.2
4.0,14.0,1.0,2.0,-0.5,24.2
3.0,14.0,0.0,1.0,-2.0,24.2
3.0,15.0,0.0,0.0,-2.0,23.6
5.0,14.0,0.0,2.0,0.0,23.6
4.0,14.0,0.0,1.0,0.5,23.6
5.0,14.0,0.0,1.0,-1.0,23.6
4.0,14.0,0.0,1.0,0.0,23.6
5.0,14.0,0.0,1.0,0.0,23.6
5.0,14.0,1.0,1.0,-1.0,23.6
2.0,13.0,1.0,0.0,-1.5,23.6
4.0,14.0,1.0,1.0,-0.5,23.6
5.0,51.0,1.0,1.0,0.5,23.6
5.0,13.0,0.0,1.0,-0.2,23.6
5.0,14.0,0.0,0.0,-1.0,23.6
3.0,14.0,1.0,1.0,-1.0,26.9
5.0,14.0,1.0,1.0,-2.0,26.9
3.0,14.0,1.0,2.0,-3.0,26.9
3.0,14.0,1.0,1.0,-1.0,26.9
1.0,14.0,1.0,0.0,-0.5,26.9
4.0,14.0,1.0,0.0,-1.0,26.9
4.0,14.0,1.0,1.0,1.5,26.9
4.0,14.0,1.0,0.0,1.5,26.9
1.0,13.0,1.0,0.0,-1.0,26.9
3.0,14.0,1.0,0.0,0.5,26.9
2.0,13.0,1.0,2.0,-2.5,26.9
3.0,14.0,0.0,0.0,-1.0,26.9
4.0,14.0,0.0,1.0,-2.0,26.9
3.0,14.0,0.0,1.0,-2.0,26.9
3.0,14.0,0.0,1.0,-1.0,26.9
4.0,14.0,0.0,2.0,-1.5,26.9
3.0,14.0,0.0,0.0,2.5,26.9
2.0,14.0,1.0,0.0,2.5,26.9
3.0,14.0,0.0,0.0,1.5,26.9
3.0,14.0,0.0,1.0,-1.0,26.9
4.0,14.0,1.0,1.0,-2.0,26.9
4.0,14.0,1.0,1.0,-2.0,26.9
3.0,14.0,1.0,0.0,-0.5,26.9
5.0,14.0,1.0,0.0,0.0,26.9
2.0,14.0,1.0,0.0,2.5,26.9
4.0,14.0,1.0,0.0,-1.0,26.9
5.0,14.0,0.0,1.0,-2.0,26.9
4.0,14.0,0.0,1.0,-0.5,26.9
5.0,14.0,0.0,0.0,1.5,26.9
3.0,14.0,0.0,0.0,-1.0,26.9
5.0,14.0,0.0,0.0,1.0,26.9
4.0,14.0,0.0,1.0,-0.3,26.9
4.0,14.0,1.0,1.0,-1.0,26.9
3.0,14.0,1.0,1.0,1.3,26.9
3.0,48.0,1.0,0.0,1.0,26.9
3.0,14.0,0.0,1.0,0.0,26.9
2.0,13.0,0.0,1.0,0.0,26.9
4.0,14.0,0.0,0.0,-0.5,26.9
4.0,14.0,0.0,1.0,-1.8,26.9
2.0,13.0,0.0,1.0,0.5,26.9
4.0,13.67,1.0,0.0,1.0,26.9
4.0,60.0,1.0,0.0,1.0,33.7
5.0,32.0,1.0,0.0,1.0,33.5
2.0,46.0,1.0,0.0,3.0,34.1
4.0,58.0,1.0,0.0,1.0,37.0
4.0,28.0,1.0,0.0,1.0,34.6
4.0,25.0,1.0,0.0,1.0,34.7
5.0,24.0,1.0,1.0,0.0,34.5
4.0,28.0,1.0,0.0,1.0,35.6
2.0,27.0,1.0,0.0,3.0,35.2
5.0,40.0,1.0,0.0,0.0,35.1
4.0,26.0,1.0,0.0,0.0,28.6
4.0,37.0,1.0,0.0,1.0,34.3
5.0,50.0,1.0,0.0,1.0,34.3
2.0,37.0,1.0,0.0,2.0,34.0
4.0,36.0,0.0,0.0,1.0,34.5
4.0,24.0,0.0,0.0,2.0,31.5
5.0,46.0,1.0,0.0,-1.0,31.8
5.0,37.0,1.0,1.0,0.0,27.5
4.0,49.0,1.0,1.0,0.0,31.5
5.0,47.0,0.0,0.0,2.0,33.4
4.0,35.0,1.0,0.0,1.0,34.9
2.0,40.0,1.0,0.0,2.0,34.5
5.0,44.0,1.0,0.0,1.0,34.7
5.0,45.0,1.0,1.0,0.0,33.7
5.0,47.0,1.0,1.0,0.0,31.9
4.0,30.0,1.0,2.0,0.0,33.7
6.0,44.0,1.0,2.0,-1.0,22.0
5.0,24.0,1.0,0.0,0.0,31.3
5.0,45.0,1.0,1.0,0.0,34.7
5.0,29.0,1.0,1.0,0.0,31.5
4.0,20.0,1.0,0.0,0.0,31.8
2.0,19.0,1.0,0.0,3.0,27.7
4.0,20.0,1.0,0.0,1.0,27.3
4.0,20.0,1.0,0.0,1.0,26.8
4.0,19.0,1.0,0.0,1.0,26.6
5.0,20.0,0.0,1.0,0.0,27.2
5.0,20.0,0.0,0.0,-1.0,26.5
5.0,20.0,0.0,0.0,-1.0,26.7
4.0,18.0,1.0,0.0,0.0,26.9
4.0,20.0,1.0,0.0,0.0,27.2
5.0,19.0,0.0,0.0,0.0,27.6
5.0,19.0,0.0,0.0,0.0,28.3
5.0,19.0,0.0,0.0,0.0,28.4
5.0,20.0,1.0,1.0,-2.0,27.7
5.0,20.0,1.0,1.0,0.0,27.1
4.0,21.0,1.0,0.0,2.0,27.1
4.0,18.0,1.0,0.0,0.0,27.2
2.0,24.0,1.0,0.0,3.0,35.9
1.0,23.0,1.0,0.0,3.0,33.8
2.0,24.0,1.0,0.0,3.0,34.8
5.0,22.0,1.0,0.0,0.0,34.8
5.0,24.0,1.0,0.0,-1.0,34.6
5.0,24.0,1.0,1.0,0.0,32.6
2.0,22.0,1.0,0.0,3.0,35.0
6.0,22.0,1.0,0.0,0.0,32.4
5.0,25.0,1.0,1.0,-1.0,33.0
5.0,25.0,1.0,0.0,0.0,27.7
4.0,25.0,1.0,0.0,2.0,35.2
4.0,24.0,1.0,0.0,2.0,32.0
5.0,25.0,1.0,0.0,-2.0,29.9
4.0,24.0,1.0,0.0,2.0,35.2
4.0,25.0,1.0,0.0,-1.0,34.3
4.0,22.0,1.0,0.0,1.0,34.8
5.0,27.0,1.0,0.0,0.0,28.4
2.0,21.0,1.0,0.0,2.0,35.4
5.0,23.0,1.0,0.0,0.0,28.4
2.0,24.0,1.0,0.0,1.0,34.4
2.0,46.0,1.0,0.0,1.0,36.0
4.0,43.0,1.0,0.0,0.0,36.3
2.0,42.0,1.0,0.0,3.0,35.5
5.0,46.0,0.0,1.0,1.0,32.0
4.0,51.0,1.0,0.0,1.0,29.3
5.0,52.0,1.0,2.0,-1.0,28.1
5.0,42.0,1.0,2.0,0.0,27.0
5.0,53.0,1.0,1.0,0.0,27.1
4.0,62.0,1.0,0.0,1.0,28.4
4.0,50.0,1.0,1.0,-1.0,23.2
4.0,25.0,1.0,0.0,0.0,32.1
4.0,24.0,1.0,0.0,1.0,32.1
4.0,30.0,1.0,0.0,1.0,32.4
4.0,23.0,1.0,0.0,1.0,32.5
2.0,58.0,1.0,0.0,2.0,32.4
4.0,70.0,1.0,0.0,1.0,33.4
5.0,25.0,1.0,1.0,0.0,32.0
4.0,25.0,1.0,0.0,1.0,33.5
2.0,35.0,1.0,0.0,1.0,36.2
2.0,27.0,1.0,0.0,2.0,37.3
2.0,33.0,1.0,0.0,2.0,32.9
6.0,27.0,1.0,1.0,0.0,34.0
4.0,19.0,0.0,0.0,1.0,31.5
5.0,19.0,0.0,1.0,-1.0,31.5
5.0,19.0,1.0,0.0,-2.0,31.4
4.0,20.0,1.0,0.0,2.0,31.3
5.0,18.0,1.0,1.0,-1.0,31.4
4.0,19.5,1.0,0.0,3.0,35.5
4.0,19.0,1.0,0.0,3.0,34.9
4.0,20.0,1.0,0.0,2.0,35.0
2.0,20.0,1.0,0.0,2.0,34.7
4.0,21.0,1.0,1.0,3.0,35.5
5.0,19.0,1.0,0.0,1.0,35.2
